CUST_ID,AGE_GB,EST_INCOME,CB_SCORE,TOTAL_SPENDING,SPENDING_COUNT,INST_CNT,OVERDUE_CNT,PAY_VISIT_CNT,TEL_GRADE,s_trust,s_activity,s_potential,tps_score
SYN_1,30대,47331201,789,15548397,86,1,0,0,4,95.0,44.728,77.524,74.6756
SYN_8,30대,44632929,738,10765805,98,7,1,9,1,35.0,56.431,51.292,46.3169
SYN_9,20대,41071784,801,9394062,29,6,0,9,2,70.0,24.527,59.95,53.3431
SYN_11,40대,51899549,871,12337062,34,4,0,11,5,80.0,33.705999999999996,63.862,61.2704
SYN_12,20대,50214145,731,21750143,51,1,1,2,3,65.0,42.007000000000005,69.47800000000001,59.4455
SYN_15,20대,40178839,731,8866058,54,9,0,2,1,55.0,24.371,46.538,43.2727
SYN_16,50대,59042413,876,19765672,40,6,0,12,4,70.0,49.442,62.17,61.483599999999996
SYN_19,50대,52988874,811,26562256,74,9,0,12,2,55.0,74.158,43.720000000000006,57.3634
SYN_20,40대,41928833,712,13322436,61,3,0,5,5,85.0,38.009,40.224000000000004,57.469899999999996
SYN_25,50대,48942351,793,24731706,89,3,0,2,3,85.0,63.221000000000004,43.988,66.1627
SYN_32,40대,53591609,712,26698633,30,7,1,14,3,35.0,57.893,40.992000000000004,43.6655
SYN_33,30대,49267739,712,14698086,39,5,0,8,5,75.0,34.859,78.644,64.0509
SYN_35,20대,48493918,769,23836160,12,8,0,5,1,60.0,32.019000000000005,59.14,51.3477
SYN_40,50대,38811583,600,19371274,79,1,0,5,3,95.0,55.132999999999996,20.034,60.5501
SYN_47,40대,40983045,612,14712157,52,4,0,7,3,80.0,39.221,21.878,50.3297
SYN_48,20대,42691182,705,12131476,38,5,0,10,3,75.0,33.626000000000005,58.202,57.5484
SYN_49,30대,32876252,668,13430222,12,7,0,18,2,65.0,35.462999999999994,45.194,50.1971
SYN_51,20대,58960889,775,33522746,67,3,0,15,2,85.0,79.031,73.702,79.81989999999999
SYN_52,50대,44626624,677,20342898,42,6,0,8,3,70.0,45.181,28.152,49.9999
SYN_53,30대,43840736,637,11800567,84,6,0,10,4,70.0,53.324000000000005,61.208,62.3596
SYN_54,20대,53060461,867,25103051,54,3,0,15,3,85.0,68.11099999999999,82.714,79.2475
SYN_57,20대,42874415,731,15901314,78,0,0,5,1,100.0,49.46900000000001,48.730000000000004,69.4597
SYN_58,50대,46820377,755,20442315,41,2,0,16,4,90.0,56.861999999999995,43.636,66.1494
